GEOID,NAME,variable,estimate,moe
53029,"Island County, Washington",edu_total,62604,774.4680851063829
53029,"Island County, Washington",edu_8th,125,67.91489361702128
53029,"Island County, Washington",edu_9th,194,114.38297872340425
53029,"Island County, Washington",edu_10th,241,127.48936170212765
53029,"Island County, Washington",edu_11th,669,224
53029,"Island County, Washington",edu_12th,942,232.3404255319149
53029,"Island County, Washington",edu_hs,11541,988.9361702127659
53029,"Island County, Washington",edu_ged,2157,459.9148936170213
53031,"Jefferson County, Washington",pop,32590,NA
53031,"Jefferson County, Washington",pop_white,28968,532.595744680851
53031,"Jefferson County, Washington",pop_black,200,121.53191489361701
53031,"Jefferson County, Washington",pop_native,506,170.38297872340425
53031,"Jefferson County, Washington",pop_asian,528,107.23404255319149
53031,"Jefferson County, Washington",pop_latinx,1269,NA
53031,"Jefferson County, Washington",edu_total,27383,115.57446808510637
53031,"Jefferson County, Washington",edu_8th,34,36.93617021276596
53031,"Jefferson County, Washington",edu_9th,188,115.57446808510637
53031,"Jefferson County, Washington",edu_10th,219,128.68085106382978
53031,"Jefferson County, Washington",edu_11th,228,157.27659574468083
53031,"Jefferson County, Washington",edu_12th,283,145.36170212765956
53031,"Jefferson County, Washington",edu_hs,4896,621.9574468085106
53031,"Jefferson County, Washington",edu_ged,936,310.9787234042553
53033,"King County, Washington",pop,2240876,NA
53033,"King County, Washington",pop_white,1356265,3927.1489361702124
53033,"King County, Washington",pop_black,144474,2996.595744680851
53033,"King County, Washington",pop_native,13687,1504.851063829787
53033,"King County, Washington",pop_asian,420434,4232.170212765957
53033,"King County, Washington",pop_latinx,224407,NA
53033,"King County, Washington",edu_total,1608743,NA
53033,"King County, Washington",edu_8th,7223,854.2978723404254
53033,"King County, Washington",edu_9th,10305,1142.6382978723404
53033,"King County, Washington",edu_10th,8538,950.8085106382978
53033,"King County, Washington",edu_11th,9943,1130.723404255319
53033,"King County, Washington",edu_12th,20486,1558.468085106383
53033,"King County, Washington",edu_hs,201653,5205.617021276596
53033,"King County, Washington",edu_ged,37144,1889.7021276595744
53035,"Kitsap County, Washington",pop,273072,NA
53035,"Kitsap County, Washington",pop_white,215001,1189.1063829787233
53035,"Kitsap County, Washington",pop_black,7591,879.3191489361702
53035,"Kitsap County, Washington",pop_native,2974,488.51063829787233
53035,"Kitsap County, Washington",pop_asian,13565,824.5106382978723
53035,"Kitsap County, Washington",pop_latinx,22582,NA
53035,"Kitsap County, Washington",edu_total,191555,123.91489361702128
53035,"Kitsap County, Washington",edu_8th,562,239.48936170212764
53035,"Kitsap County, Washington",edu_9th,791,274.04255319148933
53035,"Kitsap County, Washington",edu_10th,1141,287.1489361702128
53035,"Kitsap County, Washington",edu_11th,2125,438.46808510638294
53035,"Kitsap County, Washington",edu_12th,2507,437.27659574468083
53035,"Kitsap County, Washington",edu_hs,33902,1796.7659574468084
53035,"Kitsap County, Washington",edu_ged,6677,829.2765957446808
